"courseId","sourcePath","relativePath","fullPath","filename","extension","sizeBytes","lastWriteTimeUtc","importerMode"
"cs3481","D:\下载\course_files_export (4)","5.1 - Point Estimates and Sampling Variability.pptx","D:\下载\course_files_export (4)\5.1 - Point Estimates and Sampling Variability.pptx","5.1 - Point Estimates and Sampling Variability.pptx",".pptx","1095540","2026-07-30T08:38:41.0595830Z","index"
"cs3481","D:\下载\course_files_export (4)","5.2 - Confidence Intervals for a Proportion (1).pptx","D:\下载\course_files_export (4)\5.2 - Confidence Intervals for a Proportion (1).pptx","5.2 - Confidence Intervals for a Proportion (1).pptx",".pptx","1812998","2026-07-30T08:38:41.1065736Z","index"
"cs3481","D:\下载\course_files_export (4)","5.2 - Confidence Intervals for a Proportion.pptx","D:\下载\course_files_export (4)\5.2 - Confidence Intervals for a Proportion.pptx","5.2 - Confidence Intervals for a Proportion.pptx",".pptx","1813000","2026-07-30T08:38:41.1425992Z","index"
"cs3481","D:\下载\course_files_export (4)","5.3 - Hypothesis Testing for a Proportion.pptx","D:\下载\course_files_export (4)\5.3 - Hypothesis Testing for a Proportion.pptx","5.3 - Hypothesis Testing for a Proportion.pptx",".pptx","732875","2026-07-30T08:38:41.1714613Z","index"
"cs3481","D:\下载\course_files_export (4)","6.1 - Inference for a single proportion.pptx","D:\下载\course_files_export (4)\6.1 - Inference for a single proportion.pptx","6.1 - Inference for a single proportion.pptx",".pptx","412284","2026-07-30T08:38:41.1978836Z","index"
"cs3481","D:\下载\course_files_export (4)","adult.data","D:\下载\course_files_export (4)\adult.data","adult.data",".data","3974305","2026-07-30T08:38:41.2429403Z","inventory-only"
"cs3481","D:\下载\course_files_export (4)","apriori_example.ipynb","D:\下载\course_files_export (4)\apriori_example.ipynb","apriori_example.ipynb",".ipynb","10429","2026-07-30T08:38:41.2797802Z","inventory-only"
"cs3481","D:\下载\course_files_export (4)","arm_practice_problems.docx","D:\下载\course_files_export (4)\arm_practice_problems.docx","arm_practice_problems.docx",".docx","21996","2026-07-30T08:38:41.3220423Z","index"
"cs3481","D:\下载\course_files_export (4)","Association Analysis (Itemset Representation).pdf","D:\下载\course_files_export (4)\Association Analysis (Itemset Representation).pdf","Association Analysis (Itemset Representation).pdf",".pdf","231342","2026-07-30T08:38:41.3505298Z","index"
"cs3481","D:\下载\course_files_export (4)","Association Analysis.pdf","D:\下载\course_files_export (4)\Association Analysis.pdf","Association Analysis.pdf",".pdf","427299","2026-07-30T08:38:41.3818723Z","index"
